station,visitor
96,53
93,76
93,100
90,92
93,92
93,46
93,61
90,53
90,76
93,92
96,76
96,76
90,84
93,69
93,92
93,61
96,53
96,76
93,38
93,100
93,92
93,69
96,76
96,84
96,92
93,92
93,23
93,84
93,76
90,61
93,84
93,92
93,61
90,84
93,107
93,53
93,100
96,69
93,38
93,38
93,38
93,84
90,76
96,30
93,107
93,100
93,69
93,84
93,61
90,115
93,76
93,92
96,38
93,76
96,61
93,92
90,76
90,107
93,76
96,76
93,61
93,69
96,61
93,84
93,61
90,92
93,76
93,107
93,69
93,107
93,38
90,69
93,92
93,100
96,76
93,107
93,84
96,53
96,61
93,84
93,123
93,84
93,100
93,69
96,53
93,92
93,69
90,100
93,84
90,115
90,84
90,76
93,107
93,115
96,76
93,76
93,92
93,100
93,84
93,61
93,69
93,69
93,84
93,115
93,100
93,76
93,100
90,107
93,76
93,69
96,84
96,100
93,38
93,76
96,61
93,92
96,92
93,69
90,69
93,84
93,61
93,69
90,76
93,100
90,84
93,92
90,84
93,92
96,69
96,53
93,76
90,84
93,76
90,53
93,92
90,61
93,76
93,92
93,69
96,69
93,76
90,92
93,38
93,76
93,46
93,69
90,84
96,100
93,115
93,84
96,84
93,76
93,69
93,84
96,61
90,61
93,76
96,61
93,115
90,30
93,92
90,61
93,76
93,107
90,100
93,76
93,61
90,69
90,76
93,69
90,107
93,100
96,76
93,69
90,76
93,100
93,61
93,84
96,76
93,84
93,107
93,92
90,30
93,69
93,92
93,100
93,92
93,107
93,100
96,107
90,92
93,76
96,92
96,53
93,76
93,92
96,76
93,61
96,76
93,107
93,46
93,76
93,100
93,69
93,76
93,76
90,61
93,107
93,76
93,69
90,76
90,92
90,69
93,69
96,69
96,23
93,76
93,76
93,84
93,92
93,84
93,69
93,76
93,84
90,38
90,92
96,61
93,84
96,61
93,76
96,84
93,61
90,100
93,53
93,92
93,76
93,92
93,100
96,92
96,107
93,61
96,38
93,100
93,107
93,84
93,46
93,53
93,100
93,38
93,76
93,38
93,92
93,92
93,69
90,61
93,61
93,53
90,92
96,84
93,61
93,69
90,69
93,46
93,61
93,61
93,61
96,76
93,107
93,61
96,84
93,61
90,84
93,84
93,69
93,76
93,84
96,69
93,76
96,76
96,53
93,38
93,69
93,69
90,69
93,76
93,92
93,61
93,61
93,53
90,61
93,100
93,92
90,76
93,115
93,61
93,115
90,84
93,76
93,92
96,115
90,38
93,61
90,38
90,69
93,53
90,38
93,84
93,107
93,61
93,76
93,84
93,76
96,84
96,76
90,76
90,92
93,61
93,115
93,115
93,84
90,92
93,84
96,76
93,76
93,61
93,76
93,84
90,38
96,69
90,84
93,76
96,92
93,69
93,84
90,84
93,76
93,46
93,92
96,69
93,53
93,115
90,61
96,100
93,46
90,69
93,46
96,100
93,46
